
{'Date': datetime.date(2018, 12, 6), 'SHIBOR_隔夜': 2.418, 'SHIBOR_1周': 2.6, 'SHIBOR_2周': 2.612, 'SHIBOR_1个月': 2.81, 'SHIBOR_3个月': 3.133, 'SHIBOR_6个月': 3.275, 'SHIBOR_9个月': 3.478, 'SHIBOR_1年': 3.525}
{'Date': datetime.date(2018, 12, 7), 'SHIBOR_隔夜': 2.416, 'SHIBOR_1周': 2.611, 'SHIBOR_2周': 2.618, 'SHIBOR_1个月': 2.828, 'SHIBOR_3个月': 3.136, 'SHIBOR_6个月': 3.277, 'SHIBOR_9个月': 3.478, 'SHIBOR_1年': 3.525}
{'Date': datetime.date(2018, 12, 10), 'SHIBOR_隔夜': 2.453, 'SHIBOR_1周': 2.615, 'SHIBOR_2周': 2.622, 'SHIBOR_1个月': 2.838, 'SHIBOR_3个月': 3.142, 'SHIBOR_6个月': 3.277, 'SHIBOR_9个月': 3.478, 'SHIBOR_1年': 3.526}
{'Date': datetime.date(2018, 12, 11), 'SHIBOR_隔夜': 2.463, 'SHIBOR_1周': 2.624, 'SHIBOR_2周': 2.625, 'SHIBOR_1个月': 2.848, 'SHIBOR_3个月': 3.145, 'SHIBOR_6个月': 3.274, 'SHIBOR_9个月': 3.475, 'SHIBOR_1年': 3.521}
{'Date': datetime.date(2018, 12, 12), 'SHIBOR_隔夜': 2.424, 'SHIBOR_1周': 2.626, 'SHIBOR_2周': 2.631, 'SHIBOR_1个月': 2.874, 'SHIBOR_3个月': 3.147, 'SHIBOR_6个月': 3.274, 'SHIBOR_9个月': 3.477, 'SHIBOR_1年': 3.522}
{'Date': datetime.date(2018, 12, 13), 'SHIBOR_隔夜': 2.519, 'SHIBOR_1周': 2.636, 'SHIBOR_2周': 2.638, 'SHIBOR_1个月': 2.9, 'SHIBOR_3个月': 3.149, 'SHIBOR_6个月': 3.273, 'SHIBOR_9个月': 3.477, 'SHIBOR_1年': 3.52}
{'Date': datetime.date(2018, 12, 14), 'SHIBOR_隔夜': 2.655, 'SHIBOR_1周': 2.683, 'SHIBOR_2周': 2.676, 'SHIBOR_1个月': 2.966, 'SHIBOR_3个月': 3.156, 'SHIBOR_6个月': 3.274, 'SHIBOR_9个月': 3.479, 'SHIBOR_1年': 3.52}
{'Date': datetime.date(2018, 12, 17), 'SHIBOR_隔夜': 2.625, 'SHIBOR_1周': 2.697, 'SHIBOR_2周': 2.727, 'SHIBOR_1个月': 3.002, 'SHIBOR_3个月': 3.164, 'SHIBOR_6个月': 3.275, 'SHIBOR_9个月': 3.48, 'SHIBOR_1年': 3.52}
{'Date': datetime.date(2018, 12, 18), 'SHIBOR_隔夜': 2.669, 'SHIBOR_1周': 2.694, 'SHIBOR_2周': 2.767, 'SHIBOR_1个月': 3.034, 'SHIBOR_3个月': 3.174, 'SHIBOR_6个月': 3.278, 'SHIBOR_9个月': 3.482, 'SHIBOR_1年': 3.522}
{'Date': datetime.date(2018, 12, 19), 'SHIBOR_隔夜': 2.654, 'SHIBOR_1周': 2.69, 'SHIBOR_2周': 2.788, 'SHIBOR_1个月': 3.047, 'SHIBOR_3个月': 3.181, 'SHIBOR_6个月': 3.278, 'SHIBOR_9个月': 3.482, 'SHIBOR_1年': 3.524}
{'Date': datetime.date(2018, 12, 20), 'SHIBOR_隔夜': 2.567, 'SHIBOR_1周': 2.676, 'SHIBOR_2周': 2.819, 'SHIBOR_1个月': 3.112, 'SHIBOR_3个月': 3.199, 'SHIBOR_6个月': 3.282, 'SHIBOR_9个月': 3.481, 'SHIBOR_1年': 3.524}
